VanillicAcid	Dihydrokaempferol	SyringicAcid	INAUDPC	WISFinal
180.659696	0.082262588	26.29861132	7.1610000000000005	0.05
172.32454950000005	0.060724788	45.55983482	3.052	0.0
55.59919027	0.067955282	22.39739889	0.721	0.0
147.1806379	0.052086006	37.77195826	0.6509999999999999	0.0
291.16929310000006	0.08198090799999999	55.05538164	25.9	0.03
424.0489193	0.05648338400000001	37.33196369	81.907	0.05
260.5530655	0.163791399	38.40068036	79.597	0.07
91.0525193	0.290741902	42.05199127	23.611	0.0
256.9652682	0.078623868	51.79252628	66.493	0.0
212.4932424	0.11952413	44.18156624	91.0	0.0
171.640617	-0.05843295	56.62086349	27.3	0.0
492.6872752	0.05467089	70.60959851	58.8	0.02
216.6970797	0.62763798	33.11043247	13.531	0.0166
205.1900679	0.246827995	26.33196753	31.031	0.0
199.8643044	0.27619493100000003	23.80240465	43.428	0.0
123.3327302	0.072146974	35.42492365	48.076	0.0
273.9858181	0.081705927	21.37431483	16.639	0.0
256.0499655	0.07092688	40.0616784	79.33800000000002	0.03
244.6097032	0.141398818	22.50994336	28.693	0.01
219.5137186	0.063612028	25.00239834	21.07	0.01
149.52120119999995	0.20837232	14.88332528	59.5	0.01
122.3851826	0.070794072	27.48753024	13.363	0.01
68.84743894	0.08513035	9.868675441	19.362	0.08
179.5643023	0.063843208	16.69264218	113.169	0.07
291.1238012	0.060300157	49.72608951	56.0	0.0
73.790537	0.078559844	14.25532809	20.538	0.02
161.06961819999995	0.189570049	23.53347043	10.318	0.0
241.7070551	0.06208227	43.51057084	25.669	0.0
249.7386824	0.06781318900000001	54.82937674	47.838	0.0
177.65238730000004	0.071761666	59.34151323	10.521	0.0
141.6644175	0.074266866	17.51482232	14.707	0.0
158.8789332	0.068835012	23.78703653	32.9	0.0
140.8461875	0.122905051	29.57306683	31.038	0.0
160.0617523	0.046145463	45.72021188	49.7	0.0
136.8772416	0.049637611	30.14153042	2.17	0.0
82.92585203	0.071428652	19.77318038	29.393	0.0
478.4279164	0.058936030999999986	102.6292539	64.631	0.016666667
108.4033144	0.062461948	3.899935677	64.407	0.0
204.0439304	0.07192981400000001	16.25032511	41.3	0.05
162.5917301	0.053289185	33.56985838	32.9	0.0
168.2440103	0.0498991	36.08676079999999	33.831	0.01
100.3961211	0.124900719	21.25397594	96.838	0.05
203.9298981	0.050262936	49.73177486	63.231	0.05
169.5697259	0.077181428	22.18886021	23.59	0.0
314.6372536	0.383045247	57.44572156	39.2	0.02
126.0502308	0.061492961	13.49425034	30.618	0.043333333
251.013664	0.08625004900000001	33.47391564	27.524	0.0
149.4076373	0.090042104	59.46381752	14.077	0.0
180.8324369	0.383827514	11.45058388	9.142	0.0
128.4624882	0.052768419	72.03486081	20.111	0.02
138.1992875	0.055560094	13.36234965	5.95	0.0
113.6949612	0.156996089	70.49246875	2.17	0.0
150.0304926	0.07494447	14.51533609	5.439	0.0
174.19272969999997	0.059119291	39.37536098	35.49	0.0
176.70085600000004	0.069420806	19.04810751	23.611	0.0
162.0678372	-0.041813416	26.29915907	33.859	0.025
223.8723461	0.132265314	35.80965981	56.462	0.03
157.1698888	-0.08108399	12.09496898	100.331	0.06
263.6427184	-0.069643247	19.54485105	38.731	0.03
339.3427061000001	-0.08454556099999999	89.74040082	70.0	0.04
469.7195813	-0.07319793	95.82141318	42.7	0.025
180.8382234	-0.053436616	21.02182897	37.338	0.3
174.1062531	-0.072564303	46.59565342	28.273000000000003	0.0
280.82532189999995	-0.053225776	19.34470343	22.631	0.01
187.9976447	-0.07019935	38.77704458	21.462	0.0
212.0707152	-0.068931189	38.2506152	24.563	0.0
241.6998574	-0.06509332799999999	49.99727159	16.331	0.03
180.7501637	-0.078569097	38.75224448	49.7	0.025
238.3558693	-0.06980204799999999	35.8316885	31.038	0.03
188.5027873	0.06877489	32.05112363	44.611	0.0
227.7460537	-0.009476243	63.30257471	35.707	0.05
77.55269245	-0.040527515	36.52634967	13.342	0.0
252.0858428	0.278560285	43.04876773	2.121	0.0
143.8303864	-0.035145235	58.83660975	27.531	0.02
210.6485592	0.279081376	14.87344015	73.962	0.03
313.1125185	0.074530487	43.00033962	60.669	0.03
100.1855215	0.055516543	21.54422403	7.0139999999999985	0.01
71.19490846	0.078454655	30.74304997	3.1010000000000004	0.03
115.6283866	0.210594439	18.19937786	78.4	0.0
130.7920433	0.149935932	23.32658153	33.159	0.02
66.68672574	0.081772673	21.8021882	28.07	0.0
164.6931687	0.067347537	33.18202631	48.293	0.06333333299999999
152.0694842	0.06936954099999999	47.46643505	28.483	0.0
203.8558273	0.058867938	32.0368317	16.38	0.0
176.5093742	0.083435994	30.50831666	44.331	0.0
162.7231811	0.057981614	28.67865934	31.031	0.0
175.0572615	0.255491818	63.33860155	65.611	0.0
139.53724219999998	0.086053825	24.75180474	170.331	0.02
162.08831809999995	0.126604212	28.60673828	17.101	0.0
161.83690719999996	0.0643259	24.26210581	84.28	0.0375
231.118486	0.054773711	49.96255051	11.942	0.01
218.3711062	0.06523944599999999	51.39816659	32.9	0.0
171.1396796	0.090981803	40.62730745	110.838	0.04
269.4766876	0.128221693	49.31146073	39.662	0.0
252.3956016	0.08525198099999999	32.43011543	128.562	0.04
225.9477091	0.063166389	31.86825234	30.821	0.0
218.4733521	0.12073583	37.05164676	17.059	0.01
255.35877180000003	0.048390261	34.52056317	14.959	0.01
162.1966096	0.068270817	29.76368025	30.583	0.05
136.44518159999998	0.107091075	27.89505356	233.338	0.02
128.7014994	0.066615148	23.75810168	29.869	0.0
133.8675193	0.059505385	25.31899297	32.9	0.0
172.929476	0.357819289	29.53316808	84.49	0.0
248.1816161	0.057487704	34.2372903	3.1010000000000004	0.0
195.0372829	0.06314114400000001	54.97156187	51.793	0.0
175.5209723	0.091660439	31.18752386	77.273	0.0
193.3384415	0.065253992	32.47966669	46.9	0.0
132.2668638	0.081735872	37.04333024	1.75	0.01
159.324342	0.091521541	25.2739426	27.769	0.05
159.2592535	0.065904025	32.26944663	70.238	0.0
184.7062977	-0.081516758	33.28145599	36.169	0.03
295.6451902	-0.069146769	34.010778	40.159	0.0
