Accession,LineName,X4CGA,Apigenin,Apigenin7Oglu,CaffeicAcid,Chrysoeriol,ConiferylAldehyde,Dihydrokaempferol,Dihydroquercetin,Eriodicytol,Isoorientin,Luteolin,Naringenin,pCoumaricAcid,Phenylalanine,QuinicAcid,Rhamnosylisoorientin,SinapicAcid,SyringicAcid,Tricin,VanillicAcid,Vanillin,Vitexin,Quercetin,Apimaysin,Maysin,Kaempferol,Apigenidin,ShikimicAcid,FerulicAcid,Luteolin7Oglu,Eriodictyol7Oglu,Naringin,Syringol,Naringenin7Oglu
Ames24729,MS116,1.954108423,0.846349942,0.899983029,33.24767364,1.42620472,0.455865762,0.071428652,0.019727917,0.15401625,0.041524531,0.233637606,1.822750591,565.3051181,18.91947081,9.752598328,-0.052529274,0.49684063,19.77318038,6.296286086,82.92585203,507.0029526,0.241217214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24730,MS132,13.02947545,0.21401173,0.69095226,13.10762242,2.721832341,0.123414711,0.058936031,0.016270518,0.105970995,0.035284545,0.07781268,0.938344861,341.2126521,31.81714143,16.63969052,0.009894049,1.040361726,102.6292539,18.01620067,478.4279164,374.7268847,0.253677094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24733,MS142,2.567498521,0.158712745,0.514318837,26.42475064,2.796876856,0.06966697,0.062461948,0.030534735,0.763905027,0.096245563,0.050148991,2.732503124,125.2880299,12.90844538,11.66596649,2.247832199,0.116503699,3.899935677,4.079664186,108.4033144,92.50933304,4.361244844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24734,MS153,0.491784365,0.718485606,0.585993677,18.72586592,0.428791981,0.11538817,0.071929814,0.031024984,0.144866836,0.015328207,0.057663347,2.523902846,107.5959405,14.07521563,15.09326075,-0.043755547,0.196454991,16.25032511,4.064778175,204.0439304,275.5890082,0.396409585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24742,MS211,1.275905868,1.240942311,1.058946598,20.40701684,11.56448024,0.03014458,0.051311876,0.016690611,1.094697658,0.031772276,NA,1.269174227,259.7618653,9.672880902,8.363303049,-0.039179159,0.329099114,9.979955036,4.788179833,118.2824934,248.947525,0.372244279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24746,MS221,53.60916245,0.358575651,1.104346635,23.39875678,1.405883356,0.040650654,0.053289185,0.018180666,0.268551762,1.145894099,0.054326277,1.015141185,328.562266,13.15228644,22.42810592,5.626784723,0.599478418,33.56985838,4.4317774,162.5917301,102.0973974,0.424848071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24747,MS222,593.8862767,0.188366354,0.496435737,25.13581847,0.90015612,0.036731344,0.0498991,0.034556919,0.254379181,1.833308065,0.063431062,1.322275049,338.4561175,17.40540504,28.44918197,8.125893802,0.594447088,36.0867608,5.206584123,168.2440103,144.590812,0.294130417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24748,MS223,4.079290828,3.307820204,2.264601565,57.16291329,11.24345144,0.163315867,0.124900719,0.061248276,0.241759753,0.02440539,0.049171438,1.868410791,155.5112113,20.16341586,7.846033992,0.025175626,0.302488253,21.25397594,5.941464743,100.3961211,300.6346184,0.505338589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24749,MS224,2.109713331,1.830871278,1.903740836,20.10533118,31.85270668,0.076028964,0.050262936,0.025456549,0.152148327,0.03287156,0.086410996,1.604529641,NA,18.64189715,7.729275685,-0.029720991,0.985637647,49.73177486,30.38184348,203.9298981,328.7391966,0.265849223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24750,MS225,0.961001111,3.127241166,1.753312671,9.402273764,21.02592194,0.11372761,0.077181428,0.036635095,0.183803138,0.012694602,0.079227363,1.126985076,159.9593241,13.84510696,11.02717595,-0.01365726,0.270254886,22.18886021,14.52523721,169.5697259,206.3341505,0.315746827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
